Name,Label,Country_specific,Scale_type,Type,Format,Valid,Invalid,Question,Group
lnghom1,Language most often spoken at home: first mentioned,no,nominal,discrete,character-3,35879,136,C25 What language or languages do you speak most often at home? Language 1,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
lnghom2,Language most often spoken at home: second mentioned,no,nominal,discrete,character-3,5698,30317,C25 What language or languages do you speak most often at home? Language 2,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
blgetmg,Belong to minority ethnic group in country,no,binary,discrete,numeric-1.0,35759,256,C26 Do you belong to a minority ethnic group in [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
facntr,Father born in country,no,binary,discrete,numeric-1.0,35824,191,C27 Was your father born in [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
fbrncntc,"Country of birth, father",no,nominal,discrete,character-2,5020,30995,C28 In which country was your father born?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
mocntr,Mother born in country,no,binary,discrete,numeric-1.0,35934,81,C29 Was your mother born in [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
mbrncntc,"Country of birth, mother",no,nominal,discrete,character-2,4832,31183,C30 In which country was your mother born?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
admdw,Administration of how democracy works questions,no,ordinal,discrete,numeric-1.0,36014,1,C31 RECORD OUTCOME OF CAPI RANDOMISATION,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
vteurmmb,Would vote for [country] to remain member of European Union or leave,no,binary,discrete,numeric-2.0,25037,10978,"C41 Imagine there were a referendum in [country] tomorrow about membership of the European Union. Would you vote for
[country] to remain a member of the European Union or to leave the European Union?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
vteubcmb,Would vote for [country] to become member of European Union or remain outside,no,binary,discrete,numeric-2.0,4643,31372,"C42 Imagine there were a referendum in
[country] tomorrow about membership
of the European Union. Would you vote
for [country] to become a member of the
European Union or to remain outside the
European Union?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
evpdemp,Paid employment or apprenticeship at least 3 months 20 hours weekly,no,binary,discrete,numeric-2.0,35932,83,D1 Have you ever been in paid employment or a paid apprenticeship of 20 hours or more per week for at least 3 months?,Group Timing of life
pdempyr,Year first started in paid employment or apprenticeship,no,continuous,continuous,numeric-4.0,30029,5986,D2 In what year did you first start working in a job like this?,Group Timing of life
lvpntyr,Year first left parents for living separately for 2 months or more,no,continuous,continuous,numeric-4.0,34688,1327,"D3 In what year, if ever, did you first leave your parent(s) for 2 months or more to start living separately from them?",Group Timing of life
evlvptn,Ever lived with a spouse or partner for 3 months or more,no,binary,discrete,numeric-1.0,35899,116,D4 Have you ever lived with a spouse or partner for three months or more?,Group Timing of life
lvptnyr,Year first lived with spouse or partner for 3 months or more,no,continuous,continuous,numeric-4.0,27966,8049,D5 In what year did you first live with a spouse or partner for three months or more?,Group Timing of life
evmar,Are or ever been married,no,binary,discrete,numeric-1.0,35927,88,D6 Are you or have you ever been married?,Group Timing of life
maryr, Year first married,no,continuous,continuous,numeric-4.0,23907,12108,D7 In what year did you first marry?,Group Timing of life
bthcld,Ever given birth to/ fathered a child,no,binary,discrete,numeric-1.0,35908,107,D8 Have you ever given birth to/fathered a child?,Group Timing of life
nbthcld,Number of children ever given birth to/ fathered,no,continuous,continuous,numeric-2.0,24878,11137,D9 How many children have you ever given birth to/fathered?,Group Timing of life
fcldbrn,Year (first) child was born,no,continuous,continuous,numeric-4.0,24571,11444,D10 In what year was your (first) child born?,Group Timing of life
ycldbyr,Year youngest child was born,no,continuous,continuous,numeric-4.0,17254,18761,D11 In what year was your youngest child born?,Group Timing of life
ngchld,Number of grandchildren,no,continuous,continuous,numeric-2.0,18462,17553,"D12 How many grandchildren do you have, if any?",Group Timing of life
ygcdbyr,Year first grandchild was born,no,continuous,continuous,numeric-4.0,10530,25485,D13 In what year was your first grandchild born?,Group Timing of life
ggchld,Have any great grandchildren,no,binary,discrete,numeric-1.0,35829,186,D14 Do you have any great grandchildren?,Group Timing of life
admge,"Administration of split ballot, ask about female or male",no,nominal,discrete,numeric-1.0,36010,5,D14a RECORD OUTCOME OF CAPI RANDOMISATION,Group Timing of life
ageadlt,Age become adults. SPLIT BALLOT,no,continuous,continuous,numeric-3.0,35165,850,"D15a/b People differ in their ideas about the ages at which girls/boys or women/men become adults, middle-aged and old. At
what age, approximately, would you say girls/boys or women/men become adults?",Group Timing of life
agemage,Age reach middle age. SPLIT BALLOT,no,continuous,continuous,numeric-3.0,35180,835,"D16a/b And at what age, approximately, would you say women/men reach middle age?",Group Timing of life
ageoage,Age reach old age. SPLIT BALLOT,no,continuous,continuous,numeric-3.0,35221,794,"D17a/b And at what age, approximately, would you say women/men reach old age?",Group Timing of life
iaglptn,"Start living with partner not married to, ideal age. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,34523,1492,"D18a/b In your opinion, what is the ideal age for a girl/boy or woman/man to start living with a partner she/he is not married
to?",Group Timing of life
iagmr,"Get married, ideal age. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,34899,1116,"D19a/b In your opinion, what is the ideal age for a girl/boy or woman/man to get married?",Group Timing of life
iagpnt,"Become mother/ father, ideal age. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,35008,1007,"D20a/b In your opinion, what is the ideal age for a girl/boy or woman/man to become a mother/father?",Group Timing of life
iagrtr,"Retire permanently, ideal age. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,34750,1265,"D21a/b In your opinion, what is the ideal age for a woman/man to retire permanently?",Group Timing of life
tygledu,"Leave full-time education, age too young. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,33602,2413,D22a/b Before what age would you say a girl/boy or woman/man is generally too young to leave full-time education?,Group Timing of life
tyglvp,"Start living with partner not married to, age too young. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,33805,2210,"D23a/b Before what age would you say a woman/man is generally too young to start living with a partner she/he is not
married to?",Group Timing of life
tygmr,"Get married, age too young",no,continuous,continuous,numeric-3.0,34322,1693,D24a/b Before what age would you say a woman/man is generally too young to get married?,Group Timing of life
tygpnt,"Become mother/ father, age too young. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,34461,1554,D25a/b Before what age would you say a woman/man is generally too young to become a mother/father?,Group Timing of life
tygrtr,"Retire permanently, age too young. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,32834,3181,D26a/b And before what age would you say a woman/man is generally too young to retire permanently?,Group Timing of life
tolvpnt,"Still be living with parents, age too old. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,33185,2830,D27a/b After what age would you say a woman/man is generally too old to still be living with her/his parents?,Group Timing of life
tochld,"Consider having more children, age too old. SPLIT BALLOT",no,continuous,continuous,numeric-3.0,34058,1957,D28a/b After what age would you say a woman/man is generally too old to consider having any more children?,Group Timing of life
towkht,"Be working 20 hours or more per week, age too old. ",no,continuous,continuous,numeric-3.0,32892,3123,D29a/b After what age would you say a woman/man is generally too old to be working 20 hours or more per week?,Group Timing of life
anvcld,Approve if person chooses never to have children. SPLIT BALLOT,no,ordinal,discrete,numeric-1.0,35264,751,"D30a/b-D34a/b Using this card, how much do you approve or disapprove if a woman/man... ...chooses never to have
children?",Group Timing of life
alvgptn,Approve if person lives with partner not married to. SPLIT BALLOT,no,ordinal,discrete,numeric-1.0,35533,482,"D30a/b-D34a/b Using this card, how much do you approve or disapprove if a woman/man... ...lives with a partner without
being married?",Group Timing of life
acldnmr,Approve if person have child with partner not married to. SPLIT BALLOT,no,ordinal,discrete,numeric-1.0,35541,474,"D30a/b-D34a/b Using this card, how much do you approve or disapprove if a woman/man... ...has a child with a partner she/
he lives with but is not married to?",Group Timing of life
aftjbyc,Approve if person has full-time job while children aged under 3. SPLIT BALLOT,no,ordinal,discrete,numeric-1.0,35291,724,"D30a/b-D34a/b Using this card, how much do you approve or disapprove if a woman/man... ...has a full-time job while she/
he has children aged under 3?",Group Timing of life
advcyc,Approve if person gets divorced while children aged under 12. SPLIT BALLOT,no,ordinal,discrete,numeric-1.0,33221,2794,"D30a/b-D34a/b Using this card, how much do you approve or disapprove if a woman/man... ...gets divorced while she/he has
children aged under 12?",Group Timing of life
plnftr,Plan for future or take each day as it comes,no,ordinal,discrete,numeric-2.0,35848,167,"D35 Do you generally plan for your future or do you just take each day as it comes? Please express your opinion on a scale
of 0 to 10, where 0 means 'I plan for my future as much as possible' and 10 means 'I just take each day as it comes'.",Group Timing of life
hhmmb,Number of people living regularly as member of household,no,ordinal,continuous,numeric-2.0,35902,113,"F1 Including yourself, how many people
- including children - live here regularly as members of this household?","Group Gender, Year of birth and Household grid"
gndr,Gender,no,nominal,discrete,numeric-1.0,36015,0,"F21 CODE SEX, respondent","Group Gender, Year of birth and Household grid"
gndr2,Gender of second person in household,no,nominal,discrete,numeric-1.0,27722,8293,F22 CODE SEX (2. person in household),"Group Gender, Year of birth and Household grid"
gndr3,Gender of third person in household,no,nominal,discrete,numeric-1.0,15048,20967,F23 CODE SEX (3. person in household),"Group Gender, Year of birth and Household grid"
gndr4,Gender of fourth person in household,no,nominal,discrete,numeric-1.0,8771,27244,F24 CODE SEX (4. person in household),"Group Gender, Year of birth and Household grid"
gndr5,Gender of fifth person in household,no,nominal,discrete,numeric-1.0,3022,32993,F25 CODE SEX (5. person in household),"Group Gender, Year of birth and Household grid"
gndr6,Gender of sixth person in household,no,nominal,discrete,numeric-1.0,1019,34996,F26 CODE SEX (6. person in household),"Group Gender, Year of birth and Household grid"
gndr7,Gender of seventh person in household,no,nominal,discrete,numeric-1.0,321,35694,F27 CODE SEX (7. person in household),"Group Gender, Year of birth and Household grid"
gndr8,Gender of eighth person in household,no,nominal,discrete,numeric-1.0,113,35902,F28 CODE SEX (8. person in household),"Group Gender, Year of birth and Household grid"
gndr9,Gender of ninth person in household,no,nominal,discrete,numeric-1.0,42,35973,F29 CODE SEX (9. person in household),"Group Gender, Year of birth and Household grid"
gndr10,Gender of tenth person in household,no,nominal,discrete,numeric-1.0,22,35993,F210 CODE SEX (10. person in household),"Group Gender, Year of birth and Household grid"
gndr11,Gender of eleventh person in household,no,nominal,discrete,numeric-1.0,12,36003,F211 CODE SEX (11. person in household),"Group Gender, Year of birth and Household grid"
gndr12,Gender of twelfth person in household,no,nominal,discrete,numeric-1.0,4,36011,F212 CODE SEX (12. person in household),"Group Gender, Year of birth and Household grid"
gndr13,Gender of thirteenth person in household,no,nominal,discrete,numeric-1.0,2,36013,F213 CODE SEX (13. person in household),"Group Gender, Year of birth and Household grid"
gndr14,Gender of fourteenth person in household,no,nominal,discrete,numeric-1.0,1,36014,F214 CODE SEX (14. person in household),"Group Gender, Year of birth and Household grid"
gndr15,Gender of fifteenth person in household,no,nominal,discrete,numeric-1.0,1,36014,F215 CODE SEX (15. person in household),"Group Gender, Year of birth and Household grid"
agea,"Age of respondent, calculated",no,continuous,continuous,numeric-4.0,35848,167,"F31b Age of respondent, calculated","Group Gender, Year of birth and Household grid"
yrbrn,Year of birth,no,continuous,continuous,numeric-4.0,35848,167,F31a And in what year were you born?,"Group Gender, Year of birth and Household grid"
yrbrn2,Year of birth of second person in household,no,continuous,continuous,numeric-4.0,27257,8758,F32 And in what year was he/she born? (2. person in household),"Group Gender, Year of birth and Household grid"
yrbrn3,Year of birth of third person in household,no,continuous,continuous,numeric-4.0,14751,21264,F33 And in what year was he/she born? (3. person in household),"Group Gender, Year of birth and Household grid"
yrbrn4,Year of birth of fourth person in household,no,continuous,continuous,numeric-4.0,8608,27407,F34 And in what year was he/she born? (4. person in household),"Group Gender, Year of birth and Household grid"
yrbrn5,Year of birth of fifth person in household,no,continuous,continuous,numeric-4.0,2950,33065,F35 And in what year was he/she born? (5.person in household),"Group Gender, Year of birth and Household grid"
yrbrn6,Year of birth of sixth person in household,no,continuous,continuous,numeric-4.0,1000,35015,F36 And in what year was he/she born? (6. person in household),"Group Gender, Year of birth and Household grid"
yrbrn7,Year of birth of seventh person in household,no,continuous,continuous,numeric-4.0,310,35705,F37 And in what year was he/she born? (7. person in household),"Group Gender, Year of birth and Household grid"
yrbrn8,Year of birth of eighth person in household,no,continuous,continuous,numeric-4.0,90,35925,F38 And in what year was he/she born? (8. person in household),"Group Gender, Year of birth and Household grid"
yrbrn9,Year of birth of ninth person in household,no,continuous,continuous,numeric-4.0,33,35982,F39 And in what year was he/she born? (9. person in household),"Group Gender, Year of birth and Household grid"
yrbrn10,Year of birth of tenth person in household,no,continuous,continuous,numeric-4.0,18,35997,F310 And in what year was he/she born? (10. person in household),"Group Gender, Year of birth and Household grid"
yrbrn11,Year of birth of eleventh person in household,no,continuous,continuous,numeric-4.0,11,36004,F311 And in what year was he/she born? (11. person in household),"Group Gender, Year of birth and Household grid"
yrbrn12,Year of birth of twelfth person in household,no,continuous,continuous,numeric-4.0,4,36011,F312 And in what year was he/she born? (12. person in household),"Group Gender, Year of birth and Household grid"
yrbrn13,Year of birth of thirteenth person in household,no,continuous,continuous,numeric-4.0,2,36013,F313 And in what year was he/she born? (13. person in household),"Group Gender, Year of birth and Household grid"
yrbrn14,Year of birth of fourteenth person in household,no,continuous,continuous,numeric-4.0,1,36014,F314 And in what year was he/she born? (14. person in household),"Group Gender, Year of birth and Household grid"
yrbrn15,Year of birth of fifteenth person in household,no,continuous,continuous,numeric-4.0,1,36014,F315 And in what year was he/she born? (15. person in household),"Group Gender, Year of birth and Household grid"
rshipa2,Second person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,27681,8334,"F42 Looking at this card, what relationship is he/she to you? (2. person in household)","Group Gender, Year of birth and Household grid"
rshipa3,Third person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,15016,20999,"F43 Looking at this card, what relationship is he/she to you? (3. person in household)","Group Gender, Year of birth and Household grid"
rshipa4,Fourth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,8746,27269,"F44 Looking at this card, what relationship is he/she to you? (4. person in household)","Group Gender, Year of birth and Household grid"
rshipa5,Fifth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,3012,33003,"F45 Looking at this card, what relationship is he/she to you? (5. person in household)","Group Gender, Year of birth and Household grid"
rshipa6,Sixth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,1017,34998,"F46 Looking at this card, what relationship is he/she to you? (6. person in household)","Group Gender, Year of birth and Household grid"
rshipa7,Seventh person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,321,35694,"F47 Looking at this card, what relationship is he/she to you? (7. person in household)","Group Gender, Year of birth and Household grid"
rshipa8,Eighth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,113,35902,"F48 Looking at this card, what relationship is he/she to you? (8. person in household)","Group Gender, Year of birth and Household grid"
rshipa9,Ninth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,42,35973,"F49 Looking at this card, what relationship is he/she to you? (9. person in household)","Group Gender, Year of birth and Household grid"
rshipa10,Tenth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,22,35993,"F410 Looking at this card, what relationship is he/she to you? (10. person in household)","Group Gender, Year of birth and Household grid"
rshipa11,Eleventh person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,12,36003,"F411 Looking at this card, what relationship is he/she to you? (11. person in household)","Group Gender, Year of birth and Household grid"
rshipa12,Twelfth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,4,36011,"F412 Looking at this card, what relationship is he/she to you? (12. person in household)","Group Gender, Year of birth and Household grid"
rshipa13,Thirteenth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,2,36013,"F413 Looking at this card, what relationship is he/she to you? (13. person in household)","Group Gender, Year of birth and Household grid"
rshipa14,Fourteenth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,1,36014,"F414 Looking at this card, what relationship is he/she to you? (14. person in household)","Group Gender, Year of birth and Household grid"
rshipa15,Fifteenth person in household: relationship to respondent,no,nominal,discrete,numeric-2.0,1,36014,"F415 Looking at this card, what relationship is he/she to you? (15. person in household)","Group Gender, Year of birth and Household grid"
rshpsts,Relationship with husband/ wife/partner currently living with,no,nominal,discrete,numeric-2.0,20700,15315,F6 You just told me that you live with your husband/wife/partner. Which one of the descriptions on this card describes your relationship to them?,Group Socio-demographics
rshpsgb,"Relationship with husband/ wife/partner currently living with, United Kingdom",yes,nominal,discrete,numeric-2.0,1179,34836,F6GB You just told me that you live with your husband/wife/partner. Which one of the descriptions on this card describes your relationship to them? (United Kingdom),Group Socio-demographics
lvgptnea,"Ever lived with a partner, without being married",no,binary,discrete,numeric-1.0,32056,3959,"F7 And can I just check have you ever lived with a partner, without being married to them (or in a civil union)?",Group Socio-demographics
dvrcdeva,Ever been divorced/had civil union dissolved,no,binary,discrete,numeric-1.0,35859,156,F8 Can I just check have you ever been divorced or had a civil union dissolved?,Group Socio-demographics
marsts,Legal marital status,no,nominal,discrete,numeric-2.0,18806,17209,F11 This question is about your legal marital status not about who you may or may not be living with. Which one of the descriptions on this card describes your legal marital status now?,Group Socio-demographics
marstgb,"Legal marital status, United Kingdom",yes,nominal,discrete,numeric-2.0,1249,34766,"F11GB This question is about your legal marital status not about who you may
or may not be living with. Which one of the descriptions on this card describes your legal marital status now? (United Kingdom)",Group Socio-demographics
maritalb,"Legal marital status, post coded",no,nominal,discrete,numeric-2.0,35719,296,F11b POST CODE: MARITAL STATUS,Group Socio-demographics
chldhhe,Ever had children living in household,no,binary,discrete,numeric-1.0,23817,12198,"F13 Have you ever had any children of your own, step-children, adopted children, foster children or a partner's children living in your household?",Group Socio-demographics
domicil,"Domicile, respondent's description",no,ordinal,discrete,numeric-1.0,35994,21,F14 Which phrase on this card best describes the area where you live?,Group Socio-demographics
edulvlb,Highest level of education,no,nominal,discrete,numeric-4.0,35928,87,F15 What is the highest level of education you have successfully completed?,Group Socio-demographics
eisced,"Highest level of education, ES - ISCED",yes,nominal,discrete,numeric-2.0,35928,87,"F15 Generated variable: Highest level of education, ES - ISCED",Group Socio-demographics
edlveat,"Highest level of education, Austria",yes,nominal,discrete,numeric-4.0,2496,33519,F15AT What is the highest level of education you have successfully completed? (Austria),Group Socio-demographics
edlvebe,"Highest level of education, Belgium",yes,nominal,discrete,numeric-4.0,1765,34250,F15BE What is the highest level of education you have successfully completed? (Belgium),Group Socio-demographics
edlvebg,"Highest level of education, Bulgaria",yes,nominal,discrete,numeric-4.0,2197,33818,F15BG What is the highest level of education you have successfully completed? (Bulgaria),Group Socio-demographics
edlvdch,"Highest level of education, Switzerland",yes,nominal,discrete,numeric-4.0,1540,34475,F15CH What is the highest level of education you have successfully completed? (Switzerland),Group Socio-demographics
edlvgcy,"Highest level of education, Cyprus",yes,nominal,discrete,numeric-4.0,781,35234,F15CY What is the highest level of education you have successfully completed? (Cyprus),Group Socio-demographics
edlvdcz,"Highest level of education, Czechia",yes,nominal,discrete,numeric-4.0,2393,33622,F15CZ What is the highest level of education you have successfully completed? (Czechia),Group Socio-demographics
edubde1,"Highest level of education, Germany: h??chster allgemeinbildender Schulabschluss",yes,nominal,discrete,numeric-4.0,2352,33663,F15DE1 What is the highest level of education you have successfully completed? (Germany 1),Group Socio-demographics
eduade2,"Highest level of education, Germany: h??chster Studienabschluss",yes,nominal,discrete,numeric-4.0,2350,33665,F15DE2 What is the highest level of education you have successfully completed? (Germany 2),Group Socio-demographics
eduade3,"Highest level of education, Germany: h??chster Ausbildungsabschluss",yes,nominal,discrete,numeric-4.0,2348,33667,F15DE3 What is the highest level of education you have successfully completed? (Germany 3),Group Socio-demographics
edlvdee,"Highest level of education, Estonia",yes,nominal,discrete,numeric-4.0,1904,34111,F15EE What is the highest level  of education you have successfully completed? (Estonia),Group Socio-demographics
edlvdfi,"Highest level of education, Finland",yes,nominal,discrete,numeric-4.0,1752,34263,F15FI What is the highest level of education you have successfully completed? (Finland),Group Socio-demographics
edlvdfr,"Highest level of education, France",yes,nominal,discrete,numeric-4.0,2006,34009,F15FR What is the highest level  of education you have successfully completed? (France),Group Socio-demographics
educgb1,"Highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent",yes,nominal,discrete,numeric-4.0,2196,33819,F15GB1 What is the highest level of education you have successfully completed? (United Kingdom 1),Group Socio-demographics
edubgb2,"Highest level of education, United Kingdom: Up to Ph.D or equivalent",yes,nominal,discrete,numeric-4.0,2196,33819,F15GB2 What is the highest level of education you have successfully completed? (United Kingdom 2),Group Socio-demographics
edagegb,"Age when completed full time education, United Kingdom",yes,nominal,continuous,numeric-4.0,2200,33815,F15GB3 How old were you when you completed your continuous full-time education? (United Kingdom),Group Socio-demographics
edlvdhu,"Highest level of education, Hungary",yes,nominal,discrete,numeric-4.0,1690,34325,F15HU What is the highest level of education you have successfully completed? (Hungary),Group Socio-demographics
edlvdie,"Highest level of education, Ireland",yes,nominal,discrete,numeric-4.0,2213,33802,F15IE What is the highest level of education you have successfully completed? (Ireland),Group Socio-demographics
edlveit,"Highest level of education, Italy",yes,nominal,discrete,numeric-4.0,2730,33285,F15IT What is the highest level of education you have successfully completed? (Italy),Group Socio-demographics
edlvenl,"Highest level of education, Netherlands",yes,nominal,discrete,numeric-4.0,1671,34344,F15NL What is the highest level of education you have successfully completed? (Netherlands),Group Socio-demographics
edlvdno,"Highest level of education, Norway",yes,nominal,discrete,numeric-4.0,1403,34612,F15NO What is the highest level of education you have successfully completed? (Norway),Group Socio-demographics
edlvgpl,"Highest level of education, Poland",yes,nominal,discrete,numeric-4.0,1490,34525,F15PL What is the highest level of education you have successfully completed? (Poland),Group Socio-demographics
edlvdrs,"Highest level of education, Serbia",yes,nominal,discrete,numeric-4.0,2039,33976,F15RS What is the highest level of education you have successfully completed? (Serbia),Group Socio-demographics
edlvesi,"Highest level of education, Slovenia",yes,nominal,discrete,numeric-4.0,1315,34700,F15SI What is the highest level of education you have successfully completed? (Slovenia),Group Socio-demographics
eduyrs,Years of full-time education completed,no,continuous,continuous,numeric-2.0,35510,505,"F16 About how many years of education have you completed, whether full-
time or part-time? Please report these in full-time equivalents and include compulsory years of schooling.",Group Socio-demographics
pdwrk,Doing last 7 days: paid work,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? In paid work (or away temporarily) (employee, self-employed, working for your family business)",Group Socio-demographics
edctn,Doing last 7 days: education,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? In education (not paid for by employer) even if on vacation",Group Socio-demographics
uempla,"Doing last 7 days: unemployed, actively looking for job",no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days?
Unemployed and actively looking for a job",Group Socio-demographics
uempli,"Doing last 7 days: unemployed, not actively looking for job",no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Unemployed, wanting a job but not actively looking for a job",Group Socio-demographics
dsbld,Doing last 7 days: permanently sick or disabled,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Permanently sick or disabled",Group Socio-demographics
rtrd,Doing last 7 days: retired,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Retired",Group Socio-demographics
cmsrv,Doing last 7 days: community or military service,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? In community or military service",Group Socio-demographics
hswrk,"Doing last 7 days: housework, looking after children, others",no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Doing housework, looking after children or other persons",Group Socio-demographics
dngoth,Doing last 7 days: other,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Other",Group Socio-demographics
dngref,Doing last 7 days: refusal,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Refusal",Group Socio-demographics
dngdk,Doing last 7 days: don't know,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? Don't know",Group Socio-demographics
dngna,Doing last 7 days: no answer,no,binary,discrete,numeric-1.0,36015,0,"F17a Using this card, which of these descriptions applies to what you have been doing for the last 7 days? No answer",Group Socio-demographics
mainact,Main activity last 7 days,no,nominal,discrete,numeric-2.0,4823,31192,F17c And which of these descriptions best describes your situation (in the last seven days)?,Group Socio-demographics
mnactic,"Main activity, last 7 days. All respondents. Post coded",no,nominal,discrete,numeric-2.0,35905,110,F17c2 POST CODE: MAIN ACTIVITY,Group Socio-demographics
crpdwk,Control paid work last 7 days,no,binary,discrete,numeric-1.0,16171,19844,"F18 Can I just check, did you do any paid work of an hour or more in the last seven days?",Group Socio-demographics
pdjobev,Ever had a paid job,no,binary,discrete,numeric-1.0,15376,20639,F19 Have you ever had a paid job?,Group Socio-demographics
pdjobyr,Year last in paid job,no,continuous,continuous,numeric-4.0,12404,23611,F20 In what year were you last in a paid job?,Group Socio-demographics
emplrel,Employment relation,no,nominal,discrete,numeric-1.0,32691,3324,F21 In your main job are/were you...,Group Socio-demographics
emplno,Number of employees respondent has/had,no,continuous,continuous,numeric-5.0,3609,32406,F22 How many employees (if any) do/ did you have?,Group Socio-demographics
wrkctra,Employment contract unlimited or limited duration,no,nominal,discrete,numeric-1.0,28761,7254,F23 Do/did you have a work contract of ...,Group Socio-demographics
estsz,Establishment size,no,ordinal,discrete,numeric-1.0,31296,4719,"F24 Including yourself, about how many people are/were employed at the place where you usually work/worked?",Group Socio-demographics
jbspv,Responsible for supervising other employees,no,binary,discrete,numeric-1.0,32724,3291,"F25 In your main job, do/did you have any responsibility for supervising the work of other employees?",Group Socio-demographics
njbspv,Number of people responsible for in job,no,continuous,continuous,numeric-5.0,9188,26827,F26 How many people are/were you responsible for?,Group Socio-demographics
wkdcorga,Allowed to decide how daily work is organised,no,ordinal,discrete,numeric-2.0,32465,3550,"F27-28 I am going to read out a list of things about your working life. Using this card, please say how much the management at your work allows/ allowed you... ...to decide how your own daily work is/was organised?",Group Socio-demographics
iorgact,Allowed to influence policy decisions about activities of organisation,no,ordinal,discrete,numeric-2.0,32314,3701,"F27-28 I am going to read out a list of things about your working life. Using this card, please say how much the management at your work allows/ allowed you... ...to influence policy decisions about the activities of the organisation?",Group Socio-demographics
wkhct,Total contracted hours per week in main job overtime excluded,no,continuous,continuous,numeric-3.0,28680,7335,"F29 What are/were your total 'basic' or contracted hours each week (in your main job), excluding any paid and unpaid overtime?",Group Socio-demographics
icwhct,Have a set 'basic' or contracted number of hours,no,binary,discrete,numeric-1.0,32438,3577,F29a POST CODE: Set 'basic' or contracted number of hours,Group Socio-demographics
wkhtot,Total hours normally  worked per week in main job overtime included,no,continuous,continuous,numeric-3.0,30468,5547,"F30 Regardless of your basic or contracted hours, how many hours do/ did you normally work a week (in your main job), including any paid or unpaid overtime",Group Socio-demographics
nacer2,"Industry, NACE rev.2",no,nominal,discrete,numeric-3.0,32178,3837,F31 What does/did the firm/organisation you work/worked for mainly make or do?,Group Socio-demographics
tporgwk,What type of organisation work/worked for,no,nominal,discrete,numeric-2.0,32665,3350,F32 Which of the types of organisation on this card do/did you work for?,Group Socio-demographics
isco08,"Occupation, ISCO08",no,nominal,discrete,numeric-5.0,32441,3574,"F33-34a What is/was the name or title of your main job? In your main job, what kind of work do/did you do most of the time? What training or qualifications are/were needed for the job?",Group Socio-demographics
wrkac6m,"Paid work in another country, period more than 6 months last 10 years",no,binary,discrete,numeric-1.0,32812,3203,F35 In the last 10 years have you done any paid work in another country for a period of 6 months or more?,Group Socio-demographics
